tName,link,lecname,lecture,content
CSV,https://www.wikidata.org/wiki/Q935809,Knowledge Base Queries and Linked Open Data,http://uni.com/data/COMP_474_6741-GCS_143_Knowledge_Base_Queries_and_Linked_Open_Data,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Knowledge%20Base%20Queries%20and%20Linked%20Open%20Data.txt
Cole_Howard,https://www.wikidata.org/wiki/Q5142666,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,https://plato.stanford.edu/entries/artificial-intelligence/
Cole_Howard,https://www.wikidata.org/wiki/Q5142666,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Agents.txt
Cole_Howard,https://www.wikidata.org/wiki/Q5142666,Intelligent Systems Introduction,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Systems_Introduction,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Systems%20Introduction.txt
DBpedia,https://www.wikidata.org/wiki/Q465,Lab Session #05,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_05,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#05.txt
DBpedia,https://www.wikidata.org/wiki/Q465,Lab Session #04,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_04,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#04.txt
DBpedia,https://www.wikidata.org/wiki/Q465,Knowledge Base Queries and Linked Open Data,http://uni.com/data/COMP_474_6741-GCS_143_Knowledge_Base_Queries_and_Linked_Open_Data,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Knowledge%20Base%20Queries%20and%20Linked%20Open%20Data.txt
DBpedia,https://www.wikidata.org/wiki/Q465,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,https://plato.stanford.edu/entries/artificial-intelligence/
DBpedia,https://www.wikidata.org/wiki/Q465,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Agents.txt
DBpedia,https://www.wikidata.org/wiki/Q465,Lab Session #03,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_03,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#03.txt
DBpedia,https://www.wikidata.org/wiki/Q465,Lab Session #02,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_02,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#02.txt
DBpedia,https://www.wikidata.org/wiki/Q465,Knowledge Graphs,http://uni.com/data/COMP_474_6741-GCS_143_Knowledge_Graphs,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Knowledge%20Graphs.txt
Dieter_Fensel,https://www.wikidata.org/wiki/Q92918,Knowledge Base Queries and Linked Open Data,http://uni.com/data/COMP_474_6741-GCS_143_Knowledge_Base_Queries_and_Linked_Open_Data,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Knowledge%20Base%20Queries%20and%20Linked%20Open%20Data.txt
Motivation,https://www.wikidata.org/wiki/Q644302,Intelligent Systems Introduction,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Systems_Introduction,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Systems%20Introduction.txt
Motivation,https://www.wikidata.org/wiki/Q644302,Recommender Systems,http://uni.com/data/COMP_474_6741-GCS_143_Recommender_Systems,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Recommender%20Systems.txt
French,https://www.wikidata.org/wiki/Q150,Intelligent Systems Introduction,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Systems_Introduction,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Systems%20Introduction.txt
French,https://www.wikidata.org/wiki/Q150,Lab Session #03,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_03,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#03.txt
French,https://www.wikidata.org/wiki/Q150,Knowledge Graphs,http://uni.com/data/COMP_474_6741-GCS_143_Knowledge_Graphs,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Knowledge%20Graphs.txt
Exploratory_Data_Analysis,https://www.wikidata.org/wiki/Q1322871,Machine Learning for Intelligent Systems,http://uni.com/data/COMP_474_6741-GCS_143_Machine_Learning_for_Intelligent_Systems,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Machine%20Learning%20for%20Intelligent%20Systems.txt
